ConsumerID,ConsumerName,MobileNumber,EmailID,Address,CropNeeded,QuantityNeeded,MaxPrice,DeliveryPreference,
C001,Farhan Ravel,8440062486,kadeaaina@hotmail.com,"Dharwad, Karnataka",Chilli,7,52,Home delivery,
C002,Anvi Chhabra,0545147523,sunderraghav@johal.org,"Mangalore, Karnataka",Onion,37,56,Pickup,
C003,Vaibhav Thaman,9333077698,agrawalsamar@suresh.com,"Hubli, Karnataka",Tomato,29,76,Home delivery,
C004,Saira Krishnan,2146606318,sachdevdivit@agarwal-bhatt.com,"Mysuru, Karnataka",Beans,44,49,Home delivery,
C005,Anya Dasgupta,1942538465,samaira32@yahoo.com,"Dharwad, Karnataka",Cabbage,23,79,Pickup,
C006,Siya Doshi,0497105391,hridaan71@gokhale-sahni.com,"Mysuru, Karnataka",Brinjal,23,55,Pickup,
C007,Neelofar Sarraf,9586451245,dixitnavya@gmail.com,"Hubli, Karnataka",Chilli,32,22,Home delivery,
C008,Ivan Singh,5429543758,vaidyahunar@hotmail.com,"Shivamogga, Karnataka",Beans,33,56,Pickup,
C009,Ira Keer,6655339336,bchana@yahoo.com,"Mangalore, Karnataka",Beans,34,31,Pickup,
C010,Amira Kapadia,5123573623,akarpe@gmail.com,"Shivamogga, Karnataka",Chilli,35,48,Pickup,
C011,Nirvaan Handa,4264058905,pihu67@verma.biz,"Shivamogga, Karnataka",Brinjal,38,66,Pickup,
C012,Arhaan Atwal,7326280961,zaina05@sankaran.org,"Shivamogga, Karnataka",Brinjal,13,50,Home delivery,
C013,Nirvi Dutta,4748316423,madhav70@hotmail.com,"Hassan, Karnataka",Tomato,39,73,Home delivery,
C014,Shayak Ghose,2798523741,vanyabhat@bansal-dua.com,"Dharwad, Karnataka",Cabbage,38,36,Pickup,
C015,Faiyaz Kala,8735852181,miraan29@gmail.com,"Mysuru, Karnataka",Beans,41,58,Home delivery,
C016,Tanya Sangha,6710177143,fatehsridhar@gmail.com,"Mangalore, Karnataka",Tomato,46,76,Pickup,
C017,Suhana Sarna,4867854820,elakshichhabra@dar-tandon.com,"Hassan, Karnataka",Cucumber,9,61,Pickup,
C018,Shayak Anand,1068679715,riyadevi@chander.com,"Mysuru, Karnataka",Carrot,20,75,Home delivery,
C019,Tara Kanda,5706561773,mandra@gmail.com,"Bengaluru, Karnataka",Cucumber,30,75,Home delivery,
C020,Rania Madan,2565477821,atwalmadhav@hotmail.com,"Bengaluru, Karnataka",Cabbage,43,23,Home delivery,
C021,Darshit Lala,3682195095,sbarad@hotmail.com,"Hassan, Karnataka",Carrot,22,63,Pickup,
C022,Baiju Magar,5701833679,daminidugar@contractor.net,"Udupi, Karnataka",Potato,29,44,Pickup,
C023,Rhea Dash,6029305593,qbava@gmail.com,"Mangalore, Karnataka",Chilli,23,33,Pickup,
C024,Dishani Agrawal,8696150889,gokhalediya@hotmail.com,"Dharwad, Karnataka",Potato,37,21,Home delivery,
C025,Jayan Madan,5049759694,faiyaz25@lall.com,"Udupi, Karnataka",Cucumber,45,51,Home delivery,
C026,Hunar Kar,8131299690,aayush47@hotmail.com,"Mysuru, Karnataka",Carrot,47,43,Pickup,
C027,Myra Barad,7139845488,rania14@gmail.com,"Hassan, Karnataka",Carrot,10,41,Pickup,
C028,Prerak Bassi,2102785262,ravelakarsh@hotmail.com,"Hubli, Karnataka",Chilli,45,78,Home delivery,
C029,Piya Kata,3380110396,nirvirajan@hotmail.com,"Mangalore, Karnataka",Chilli,10,65,Home delivery,
C030,Eshani Kadakia,6018782635,raghav46@gmail.com,"Mangalore, Karnataka",Tomato,41,32,Pickup,
C031,Rati Lata,5641966870,wbatra@hotmail.com,"Hassan, Karnataka",Beans,21,27,Pickup,
C032,Hrishita Deep,1673049954,seher18@trivedi.com,"Hassan, Karnataka",Tomato,32,52,Home delivery,
C033,Saksham Bedi,2309605804,dattaayesha@shenoy.com,"Dharwad, Karnataka",Spinach,47,54,Pickup,
C034,Romil Sibal,3357392862,veerapte@chaudhry.org,"Shivamogga, Karnataka",Brinjal,37,77,Home delivery,
C035,Hansh Manne,3046074645,nirvaansathe@sarma-varkey.biz,"Mysuru, Karnataka",Brinjal,6,54,Home delivery,
C036,Aradhya Amble,5125462011,vritikakaran@mahal.com,"Bengaluru, Karnataka",Cabbage,47,24,Pickup,
C037,Faiyaz Raj,8984720889,krishnamurthyvidur@yahoo.com,"Mangalore, Karnataka",Cabbage,40,55,Home delivery,
C038,Ira Tata,1210432915,urvi29@hotmail.com,"Dharwad, Karnataka",Brinjal,23,52,Pickup,
C039,Kartik Bora,3162037844,wtrivedi@hotmail.com,"Dharwad, Karnataka",Cabbage,45,56,Home delivery,
C040,Nishith Wali,8426909974,kkar@ravi.com,"Bengaluru, Karnataka",Chilli,30,73,Pickup,
C041,Madhav Sundaram,4210099462,dadaprisha@hotmail.com,"Bengaluru, Karnataka",Onion,37,31,Pickup,
C042,Jivika Wali,6505394282,gandhiadvik@apte.com,"Dharwad, Karnataka",Brinjal,25,57,Home delivery,
C043,Rhea Acharya,2273404021,wadhwaneysa@hotmail.com,"Dharwad, Karnataka",Beans,5,36,Pickup,
C044,Aayush Bansal,9086467581,darpurab@gmail.com,"Hassan, Karnataka",Cabbage,50,39,Pickup,
C045,Ivana Suresh,6755897656,farhantripathi@dara.com,"Hassan, Karnataka",Chilli,35,66,Home delivery,
C046,Aayush Bora,9021947185,qyogi@dhawan.com,"Shivamogga, Karnataka",Onion,48,77,Home delivery,
C047,Ishaan Subramaniam,3251834057,kantprerak@hotmail.com,"Hassan, Karnataka",Brinjal,41,75,Home delivery,
