FarmerID,FarmerName,MobileNumber,EmailID,FarmAddress,CropName,CropVariety,QuantityAvailable,PricePerUnit,CropQuality,CropHealthCheck,DeliveryRangeKM
F001,Ramesh Kumar,9876543201,ramesh1@gmail.com,"Mysuru, Karnataka",Lettuce,Green Lettuce,100,50,Organic,Disease-free,20
F002,Manjunath Gowda,9876543202,manju@gmail.com,"Mysuru, Karnataka",Tomato,Hybrid Tomato,200,30,Fresh,Disease-free,15
F003,Pradeep Shetty,9876543203,pradeep@gmail.com,"Mysuru, Karnataka",Cucumber,English Cucumber,150,25,Organic,Disease-free,18
F004,Chandru N,9876543204,chandru@gmail.com,"Mysuru, Karnataka",Carrot,French Beans,120,40,Fresh,Disease-free,12
F005,Mahesh R,9876543205,mahesh@gmail.com,"Mysuru, Karnataka",Spinach,Ooty Carrot,180,35,Organic,Disease-free,25
F006,Sharath S,9876543206,sharath@gmail.com,"Mysuru, Karnataka",Onion,Green Spinach,90,20,Fresh,Disease-free,10
F007,Girish Patil,9876543207,girish@gmail.com,"Mysuru, Karnataka",Potato,Red Onion,300,28,Fresh,Disease-free,30
F008,Suresh B,9876543208,suresh@gmail.com,"Mysuru, Karnataka",Brinjal,White Potato,250,22,Fresh,Disease-free,20
F009,Kiran Kumar,9876543209,kiran@gmail.com,"Mysuru, Karnataka",Cabbage,Purple Brinjal,140,32,Organic,Disease-free,18
F010,Naveen R,9876543210,naveen@gmail.com,"Mysuru, Karnataka",Cauliflower,Green Cabbage,180,26,Fresh,Disease-free,16
F011,Raghavendra,9876543211,raghu@gmail.com,"Mysuru, Karnataka",Green Peas,White Cauliflower,160,34,Organic,Disease-free,22
F012,Harish Gowda,9876543212,harish@gmail.com,"Mysuru, Karnataka",Pumpkin,Snow Peas,75,45,Fresh,Disease-free,12
F013,Ashok Kumar,9876543213,ashok@gmail.com,"Mysuru, Karnataka",Radish,Yellow Pumpkin,140,24,Fresh,Disease-free,28
F014,Lokesh M,9876543214,lokesh@gmail.com,"Mysuru, Karnataka",Beetroot,White Radish,130,20,Organic,Disease-free,14
F015,Santosh P,9876543215,santosh@gmail.com,"Mysuru, Karnataka",Chilli,Red Beetroot,170,27,Fresh,Disease-free,10
