ConsumerID,ConsumerName,MobileNumber,EmailID,Address,CropNeeded,QuantityNeeded,MaxPrice,DeliveryPreference
C001,Priya Sharma,9305622277,consumer1@gmail.com,"Hubli, Karnataka",Tomato,26 kg,26,Home delivery
C002,Manoj Gowda,9104771860,consumer2@gmail.com,"Bidar, Karnataka",Carrot,23 kg,47,Home delivery
C003,Manoj Gowda,9733311228,consumer3@gmail.com,"Hubli, Karnataka",Onion,16 kg,54,Home delivery
C004,Nandini,9895105464,consumer4@gmail.com,"Bidar, Karnataka",Onion,15 kg,54,Home delivery
C005,Nandini,9919450700,consumer5@gmail.com,"Belgaum, Karnataka",Onion,40 kg,55,Pickup
C006,Ramesh Kumar,9168670175,consumer6@gmail.com,"Mysore, Karnataka",Carrot,28 kg,21,Home delivery
C007,Divya,9116446768,consumer7@gmail.com,"Belgaum, Karnataka",Onion,30 kg,33,Pickup
C008,Raghavendra,9754986785,consumer8@gmail.com,"Bangalore, Karnataka",Potato,33 kg,25,Home delivery
C009,Ajay Singh,9763094978,consumer9@gmail.com,"Hubli, Karnataka",Onion,25 kg,51,Pickup
C010,Sita Rani,9833590114,consumer10@gmail.com,"Shimoga, Karnataka",Tomato,37 kg,36,Home delivery
C011,Ramesh Kumar,9399951273,consumer11@gmail.com,"Belgaum, Karnataka",Tomato,17 kg,31,Home delivery
C012,Manoj Gowda,9777293846,consumer12@gmail.com,"Bidar, Karnataka",Tomato,38 kg,53,Pickup
C013,Vikram Das,9965315734,consumer13@gmail.com,"Gulbarga, Karnataka",Lettuce,34 kg,54,Home delivery
C014,Suresh,9864207379,consumer14@gmail.com,"Mysore, Karnataka",Potato,12 kg,30,Home delivery
C015,Vikram Das,9870467597,consumer15@gmail.com,"Shimoga, Karnataka",Lettuce,35 kg,43,Pickup
C016,Raghavendra,9978798406,consumer16@gmail.com,"Gulbarga, Karnataka",Tomato,40 kg,60,Home delivery
C017,Raghavendra,9263594581,consumer17@gmail.com,"Bangalore, Karnataka",Potato,38 kg,29,Pickup
C018,Geetha R,9273629708,consumer18@gmail.com,"Hubli, Karnataka",Lettuce,39 kg,45,Pickup
C019,Ashok,9956273436,consumer19@gmail.com,"Hubli, Karnataka",Carrot,38 kg,59,Home delivery
C020,Geetha R,9962986877,consumer20@gmail.com,"Shimoga, Karnataka",Onion,30 kg,59,Pickup
C021,Kiran Kumar,9176736970,consumer21@gmail.com,"Belgaum, Karnataka",Potato,11 kg,60,Home delivery
C022,Raghavendra,9955462873,consumer22@gmail.com,"Hubli, Karnataka",Potato,40 kg,60,Pickup
C023,Ramesh Kumar,9509252921,consumer23@gmail.com,"Hubli, Karnataka",Lettuce,15 kg,24,Home delivery
